round,entryId,intrinsicValue,priority,activation,userSilence,modelSilence,state,userHit,modelHit
18,wb_mix_上周电影,15,80,0.000,11,6,Archived,0,0
18,wb_mix_天气,15,80,42.525,2,2,Active,0,0
19,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
19,wb_mix_昔涟主角,90,200,0.000,13,13,Archived,0,0
19,wb_mix_哀丽秘榭,70,150,92.460,5,1,Active,0,0
19,wb_mix_咖啡,45,100,0.000,16,16,Archived,0,0
19,wb_mix_Blender,45,100,49.176,1,1,Active,0,0
19,wb_mix_猫,45,100,0.000,11,2,Archived,0,0
19,wb_mix_星穹铁道,45,100,0.000,8,8,Archived,0,0
19,wb_mix_今天下午,15,80,7.263,6,5,Dormant,0,0
19,wb_mix_上周电影,15,80,44.849,0,0,Active,1,0
19,wb_mix_天气,15,80,38.342,3,3,Active,0,0
20,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
20,wb_mix_昔涟主角,90,200,0.000,14,14,Archived,0,0
20,wb_mix_哀丽秘榭,70,150,100.000,0,0,Active,1,0
20,wb_mix_咖啡,45,100,0.000,17,17,Archived,0,0
20,wb_mix_Blender,45,100,48.103,2,2,Active,0,0
20,wb_mix_猫,45,100,0.000,12,3,Archived,0,0
20,wb_mix_星穹铁道,45,100,0.000,9,9,Archived,0,0
20,wb_mix_今天下午,15,80,0.000,7,6,Archived,0,0
20,wb_mix_上周电影,15,80,44.384,1,1,Active,0,0
20,wb_mix_天气,15,80,35.398,4,0,Active,0,1
21,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
21,wb_mix_昔涟主角,90,200,0.000,15,15,Archived,0,0
21,wb_mix_哀丽秘榭,70,150,99.785,1,1,Active,0,0
21,wb_mix_咖啡,45,100,0.000,18,18,Archived,0,0
21,wb_mix_Blender,45,100,45.688,3,3,Active,0,0
21,wb_mix_猫,45,100,0.000,13,4,Archived,0,0
21,wb_mix_星穹铁道,45,100,0.000,10,10,Archived,0,0
21,wb_mix_今天下午,15,80,0.000,8,7,Archived,0,0
21,wb_mix_上周电影,15,80,42.525,2,2,Active,0,0
21,wb_mix_天气,15,80,71.493,0,0,Active,1,0
22,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
22,wb_mix_昔涟主角,90,200,90.000,0,0,Active,1,0
22,wb_mix_哀丽秘榭,70,150,98.924,2,2,Active,0,0
22,wb_mix_咖啡,45,100,0.000,19,19,Archived,0,0
22,wb_mix_Blender,45,100,41.395,4,4,Active,0,0
22,wb_mix_猫,45,100,0.000,14,5,Archived,0,0
22,wb_mix_星穹铁道,45,100,0.000,11,11,Archived,0,0
22,wb_mix_今天下午,15,80,0.000,9,8,Archived,0,0
22,wb_mix_上周电影,15,80,38.342,3,3,Active,0,0
22,wb_mix_天气,15,80,71.028,1,1,Active,0,0
23,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
23,wb_mix_昔涟主角,90,200,89.810,1,1,Active,0,0
23,wb_mix_哀丽秘榭,70,150,96.988,3,3,Active,0,0
23,wb_mix_咖啡,45,100,49.957,0,0,Active,1,0
23,wb_mix_Blender,45,100,34.686,5,5,Active,0,0
23,wb_mix_猫,45,100,0.000,15,6,Archived,0,0
23,wb_mix_星穹铁道,45,100,0.000,12,12,Archived,0,0
23,wb_mix_今天下午,15,80,0.000,10,9,Archived,0,0
23,wb_mix_上周电影,15,80,30.906,4,4,Active,0,0
23,wb_mix_天气,15,80,69.169,2,2,Active,0,0
24,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
24,wb_mix_昔涟主角,90,200,89.051,2,2,Active,0,0
24,wb_mix_哀丽秘榭,70,150,100.000,0,0,Active,1,0
24,wb_mix_咖啡,45,100,49.689,1,1,Active,0,0
24,wb_mix_Blender,45,100,25.027,6,6,Dormant,0,0
24,wb_mix_猫,45,100,0.000,16,7,Archived,0,0
24,wb_mix_星穹铁道,45,100,0.000,13,13,Archived,0,0
24,wb_mix_今天下午,15,80,0.000,11,10,Archived,0,0
24,wb_mix_上周电影,15,80,19.287,5,5,Dormant,0,0
24,wb_mix_天气,15,80,64.986,3,3,Active,0,0
25,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
25,wb_mix_昔涟主角,90,200,87.344,3,3,Active,0,0
25,wb_mix_哀丽秘榭,70,150,100.000,0,0,Active,1,1
25,wb_mix_咖啡,45,100,48.616,2,2,Active,0,0
25,wb_mix_Blender,45,100,11.878,7,7,Dormant,0,0
25,wb_mix_猫,45,100,0.000,17,8,Archived,0,0
25,wb_mix_星穹铁道,45,100,0.000,14,14,Archived,0,0
25,wb_mix_今天下午,15,80,0.000,12,11,Archived,0,0
25,wb_mix_上周电影,15,80,2.556,6,6,Dormant,0,0
25,wb_mix_天气,15,80,57.550,4,4,Active,0,0
26,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
26,wb_mix_昔涟主角,90,200,84.308,4,4,Active,0,0
26,wb_mix_哀丽秘榭,70,150,99.785,1,1,Active,0,0
26,wb_mix_咖啡,45,100,46.201,3,3,Active,0,0
26,wb_mix_Blender,45,100,0.000,8,8,Archived,0,0
26,wb_mix_猫,45,100,0.000,18,9,Archived,0,0
26,wb_mix_星穹铁道,45,100,0.000,15,15,Archived,0,0
26,wb_mix_今天下午,15,80,0.000,13,12,Archived,0,0
26,wb_mix_上周电影,15,80,0.000,7,7,Archived,0,0
26,wb_mix_天气,15,80,45.931,5,5,Active,0,0
27,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
27,wb_mix_昔涟主角,90,200,82.765,5,0,Active,0,1
27,wb_mix_哀丽秘榭,70,150,100.000,0,0,Active,1,0
27,wb_mix_咖啡,45,100,41.907,4,4,Active,0,0
27,wb_mix_Blender,45,100,0.000,9,9,Archived,0,0
27,wb_mix_猫,45,100,0.000,19,10,Archived,0,0
27,wb_mix_星穹铁道,45,100,0.000,16,16,Archived,0,0
27,wb_mix_今天下午,15,80,0.000,14,13,Archived,0,0
27,wb_mix_上周电影,15,80,0.000,8,8,Archived,0,0
27,wb_mix_天气,15,80,29.200,6,6,Dormant,0,0
28,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
28,wb_mix_昔涟主角,90,200,78.858,6,0,Active,0,1
28,wb_mix_哀丽秘榭,70,150,99.785,1,1,Active,0,0
28,wb_mix_咖啡,45,100,35.199,5,5,Active,0,0
28,wb_mix_Blender,45,100,0.000,10,10,Archived,0,0
28,wb_mix_猫,45,100,49.957,0,0,Active,1,0
28,wb_mix_星穹铁道,45,100,0.000,17,17,Archived,0,0
28,wb_mix_今天下午,15,80,0.000,15,14,Archived,0,0
28,wb_mix_上周电影,15,80,0.000,9,9,Archived,0,0
28,wb_mix_天气,15,80,6.426,7,7,Dormant,0,0
29,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
29,wb_mix_昔涟主角,90,200,71.078,7,1,Active,0,0
29,wb_mix_哀丽秘榭,70,150,98.924,2,2,Active,0,0
29,wb_mix_咖啡,45,100,25.539,6,6,Dormant,0,0
29,wb_mix_Blender,45,100,0.000,11,11,Archived,0,0
29,wb_mix_猫,45,100,49.689,1,1,Active,0,0
29,wb_mix_星穹铁道,45,100,0.000,18,18,Archived,0,0
29,wb_mix_今天下午,15,80,47.726,0,0,Active,1,0
29,wb_mix_上周电影,15,80,0.000,10,10,Archived,0,0
29,wb_mix_天气,15,80,0.000,8,8,Archived,0,0
30,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
